run_id,run_type,icm_weight,rnd_weight,extrinsic_weight,seed,final_performance,final_achievements,history_file,alpha_history_file
curriculum_icm+rnd_seed2_alpha7,curriculum,0.25,0.125,0.625,2,1.0,8.484375,histories/curriculum_icm+rnd_seed2_alpha7.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha7.csv
curriculum_icm+rnd_seed2_alpha8,curriculum,0.125,0.25,0.625,2,1.0,10.015625,histories/curriculum_icm+rnd_seed2_alpha8.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha8.csv
curriculum_icm+rnd_seed2_alpha9,curriculum,0.0,0.375,0.625,2,1.0,9.8203125,histories/curriculum_icm+rnd_seed2_alpha9.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha9.csv
curriculum_icm+rnd_seed2_alpha10,curriculum,0.5,0.0,0.5,2,0.9765625,7.56640625,histories/curriculum_icm+rnd_seed2_alpha10.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha10.csv
curriculum_icm+rnd_seed2_alpha11,curriculum,0.375,0.125,0.5,2,1.0,8.01171875,histories/curriculum_icm+rnd_seed2_alpha11.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha11.csv
curriculum_icm+rnd_seed2_alpha12,curriculum,0.25,0.25,0.5,2,1.0,9.63671875,histories/curriculum_icm+rnd_seed2_alpha12.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha12.csv
curriculum_icm+rnd_seed2_alpha13,curriculum,0.125,0.375,0.5,2,1.0,10.15625,histories/curriculum_icm+rnd_seed2_alpha13.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha13.csv
curriculum_icm+rnd_seed2_alpha14,curriculum,0.0,0.5,0.5,2,0.99609375,9.80078125,histories/curriculum_icm+rnd_seed2_alpha14.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha14.csv
curriculum_icm+rnd_seed2_alpha15,curriculum,0.625,0.0,0.375,2,0.96484375,7.50390625,histories/curriculum_icm+rnd_seed2_alpha15.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha15.csv
curriculum_icm+rnd_seed2_alpha16,curriculum,0.5,0.125,0.375,2,0.99609375,7.7265625,histories/curriculum_icm+rnd_seed2_alpha16.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha16.csv
curriculum_icm+rnd_seed2_alpha17,curriculum,0.375,0.25,0.375,2,1.0,8.4765625,histories/curriculum_icm+rnd_seed2_alpha17.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha17.csv
curriculum_icm+rnd_seed2_alpha18,curriculum,0.25,0.375,0.375,2,1.0,10.2265625,histories/curriculum_icm+rnd_seed2_alpha18.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha18.csv
curriculum_icm+rnd_seed2_alpha19,curriculum,0.125,0.5,0.375,2,0.99609375,10.0546875,histories/curriculum_icm+rnd_seed2_alpha19.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha19.csv
curriculum_icm+rnd_seed2_alpha20,curriculum,0.0,0.625,0.375,2,0.99609375,9.97265625,histories/curriculum_icm+rnd_seed2_alpha20.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha20.csv
curriculum_icm+rnd_seed2_alpha21,curriculum,0.75,0.0,0.25,2,0.9453125,7.40234375,histories/curriculum_icm+rnd_seed2_alpha21.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha21.csv
curriculum_icm+rnd_seed2_alpha22,curriculum,0.625,0.125,0.25,2,0.9921875,7.66015625,histories/curriculum_icm+rnd_seed2_alpha22.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha22.csv
curriculum_icm+rnd_seed2_alpha23,curriculum,0.5,0.25,0.25,2,0.99609375,8.125,histories/curriculum_icm+rnd_seed2_alpha23.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha23.csv
curriculum_icm+rnd_seed2_alpha24,curriculum,0.375,0.375,0.25,2,1.0,9.546875,histories/curriculum_icm+rnd_seed2_alpha24.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha24.csv
curriculum_icm+rnd_seed2_alpha25,curriculum,0.25,0.5,0.25,2,1.0,10.15625,histories/curriculum_icm+rnd_seed2_alpha25.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha25.csv
curriculum_icm+rnd_seed2_alpha26,curriculum,0.125,0.625,0.25,2,0.99609375,10.28125,histories/curriculum_icm+rnd_seed2_alpha26.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha26.csv
curriculum_icm+rnd_seed2_alpha27,curriculum,0.0,0.75,0.25,2,1.0,10.12109375,histories/curriculum_icm+rnd_seed2_alpha27.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha27.csv
curriculum_icm+rnd_seed2_alpha28,curriculum,0.875,0.0,0.125,2,0.05859375,1.63671875,histories/curriculum_icm+rnd_seed2_alpha28.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha28.csv
curriculum_icm+rnd_seed2_alpha29,curriculum,0.75,0.125,0.125,2,0.32421875,3.3984375,histories/curriculum_icm+rnd_seed2_alpha29.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha29.csv
curriculum_icm+rnd_seed2_alpha30,curriculum,0.625,0.25,0.125,2,0.91796875,7.3125,histories/curriculum_icm+rnd_seed2_alpha30.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha30.csv
curriculum_icm+rnd_seed2_alpha31,curriculum,0.5,0.375,0.125,2,1.0,8.44921875,histories/curriculum_icm+rnd_seed2_alpha31.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha31.csv
curriculum_icm+rnd_seed2_alpha32,curriculum,0.375,0.5,0.125,2,1.0,10.1328125,histories/curriculum_icm+rnd_seed2_alpha32.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha32.csv
curriculum_icm+rnd_seed2_alpha33,curriculum,0.25,0.625,0.125,2,1.0,10.28515625,histories/curriculum_icm+rnd_seed2_alpha33.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha33.csv
curriculum_icm+rnd_seed2_alpha34,curriculum,0.125,0.75,0.125,2,0.99609375,10.3359375,histories/curriculum_icm+rnd_seed2_alpha34.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha34.csv
curriculum_icm+rnd_seed2_alpha35,curriculum,0.0,0.875,0.125,2,0.99609375,10.01953125,histories/curriculum_icm+rnd_seed2_alpha35.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha35.csv
curriculum_icm+rnd_seed3_alpha0,curriculum,0.0,0.0,1.0,3,0.01953125,3.15234375,histories/curriculum_icm+rnd_seed3_alpha0.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha0.csv
curriculum_icm+rnd_seed3_alpha1,curriculum,0.125,0.0,0.875,3,0.08984375,4.22265625,histories/curriculum_icm+rnd_seed3_alpha1.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha1.csv
curriculum_icm+rnd_seed3_alpha2,curriculum,0.0,0.125,0.875,3,0.01953125,3.44921875,histories/curriculum_icm+rnd_seed3_alpha2.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha2.csv
curriculum_icm+rnd_seed3_alpha3,curriculum,0.25,0.0,0.75,3,0.1953125,5.23046875,histories/curriculum_icm+rnd_seed3_alpha3.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha3.csv
curriculum_icm+rnd_seed3_alpha4,curriculum,0.125,0.125,0.75,3,0.21875,6.00390625,histories/curriculum_icm+rnd_seed3_alpha4.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha4.csv
curriculum_icm+rnd_seed3_alpha5,curriculum,0.0,0.25,0.75,3,0.21484375,5.4921875,histories/curriculum_icm+rnd_seed3_alpha5.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha5.csv
curriculum_icm+rnd_seed3_alpha6,curriculum,0.375,0.0,0.625,3,0.43359375,6.17578125,histories/curriculum_icm+rnd_seed3_alpha6.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha6.csv
curriculum_icm+rnd_seed3_alpha7,curriculum,0.25,0.125,0.625,3,0.6796875,7.71484375,histories/curriculum_icm+rnd_seed3_alpha7.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha7.csv
curriculum_icm+rnd_seed3_alpha8,curriculum,0.125,0.25,0.625,3,0.75,9.46875,histories/curriculum_icm+rnd_seed3_alpha8.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha8.csv
curriculum_icm+rnd_seed3_alpha9,curriculum,0.0,0.375,0.625,3,0.671875,9.48828125,histories/curriculum_icm+rnd_seed3_alpha9.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha9.csv
curriculum_icm+rnd_seed3_alpha10,curriculum,0.5,0.0,0.5,3,0.3984375,5.92578125,histories/curriculum_icm+rnd_seed3_alpha10.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha10.csv
curriculum_icm+rnd_seed3_alpha11,curriculum,0.375,0.125,0.5,3,0.78125,7.53125,histories/curriculum_icm+rnd_seed3_alpha11.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha11.csv
curriculum_icm+rnd_seed3_alpha12,curriculum,0.25,0.25,0.5,3,0.9375,9.41015625,histories/curriculum_icm+rnd_seed3_alpha12.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha12.csv
curriculum_icm+rnd_seed3_alpha13,curriculum,0.125,0.375,0.5,3,0.94921875,11.2734375,histories/curriculum_icm+rnd_seed3_alpha13.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha13.csv
curriculum_icm+rnd_seed3_alpha14,curriculum,0.0,0.5,0.5,3,0.8828125,11.140625,histories/curriculum_icm+rnd_seed3_alpha14.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha14.csv
curriculum_icm+rnd_seed3_alpha15,curriculum,0.625,0.0,0.375,3,1.4551915228366852e-10,1.2578125,histories/curriculum_icm+rnd_seed3_alpha15.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha15.csv
curriculum_icm+rnd_seed3_alpha16,curriculum,0.5,0.125,0.375,3,0.59375,6.53515625,histories/curriculum_icm+rnd_seed3_alpha16.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha16.csv
curriculum_icm+rnd_seed3_alpha17,curriculum,0.375,0.25,0.375,3,0.8828125,7.78515625,histories/curriculum_icm+rnd_seed3_alpha17.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha17.csv
curriculum_icm+rnd_seed3_alpha18,curriculum,0.25,0.375,0.375,3,0.98828125,10.14453125,histories/curriculum_icm+rnd_seed3_alpha18.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha18.csv
curriculum_icm+rnd_seed3_alpha19,curriculum,0.125,0.5,0.375,3,0.98046875,11.76171875,histories/curriculum_icm+rnd_seed3_alpha19.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha19.csv
curriculum_icm+rnd_seed3_alpha20,curriculum,0.0,0.625,0.375,3,0.96484375,11.80078125,histories/curriculum_icm+rnd_seed3_alpha20.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha20.csv
curriculum_icm+rnd_seed3_alpha21,curriculum,0.75,0.0,0.25,3,2.3283064365386963e-10,1.140625,histories/curriculum_icm+rnd_seed3_alpha21.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha21.csv
curriculum_icm+rnd_seed3_alpha22,curriculum,0.625,0.125,0.25,3,4.656612873077393e-10,1.2109375,histories/curriculum_icm+rnd_seed3_alpha22.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha22.csv
curriculum_icm+rnd_seed3_alpha23,curriculum,0.5,0.25,0.25,3,0.28125,4.5078125,histories/curriculum_icm+rnd_seed3_alpha23.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha23.csv
curriculum_icm+rnd_seed3_alpha24,curriculum,0.375,0.375,0.25,3,0.94140625,8.3046875,histories/curriculum_icm+rnd_seed3_alpha24.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha24.csv
curriculum_icm+rnd_seed3_alpha25,curriculum,0.25,0.5,0.25,3,0.98828125,10.71875,histories/curriculum_icm+rnd_seed3_alpha25.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha25.csv
curriculum_icm+rnd_seed3_alpha26,curriculum,0.125,0.625,0.25,3,0.9921875,11.78515625,histories/curriculum_icm+rnd_seed3_alpha26.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha26.csv
curriculum_icm+rnd_seed3_alpha27,curriculum,0.0,0.75,0.25,3,0.95703125,11.69140625,histories/curriculum_icm+rnd_seed3_alpha27.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha27.csv
curriculum_icm+rnd_seed3_alpha28,curriculum,0.875,0.0,0.125,3,6.984919309616089e-10,1.08203125,histories/curriculum_icm+rnd_seed3_alpha28.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha28.csv
curriculum_icm+rnd_seed3_alpha29,curriculum,0.75,0.125,0.125,3,2.3283064365386963e-10,1.1328125,histories/curriculum_icm+rnd_seed3_alpha29.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha29.csv
curriculum_icm+rnd_seed3_alpha30,curriculum,0.625,0.25,0.125,3,5.820766091346741e-11,1.2265625,histories/curriculum_icm+rnd_seed3_alpha30.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha30.csv
curriculum_icm+rnd_seed3_alpha31,curriculum,0.5,0.375,0.125,3,-2.9103830456733704e-10,1.53125,histories/curriculum_icm+rnd_seed3_alpha31.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha31.csv
curriculum_icm+rnd_seed3_alpha32,curriculum,0.375,0.5,0.125,3,0.890625,8.60546875,histories/curriculum_icm+rnd_seed3_alpha32.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha32.csv
curriculum_icm+rnd_seed3_alpha33,curriculum,0.25,0.625,0.125,3,0.95703125,10.9375,histories/curriculum_icm+rnd_seed3_alpha33.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha33.csv
curriculum_icm+rnd_seed3_alpha34,curriculum,0.125,0.75,0.125,3,0.96484375,11.59375,histories/curriculum_icm+rnd_seed3_alpha34.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha34.csv
curriculum_icm+rnd_seed3_alpha35,curriculum,0.0,0.875,0.125,3,0.9609375,11.66796875,histories/curriculum_icm+rnd_seed3_alpha35.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha35.csv
